"Name","ra","dec","dist","vlos","pmra","pmdec","pmra_e","pmdec_e","disterr","vloserr","pmcorr","plx","plx_e","GAL_LONG","GAL_LAT","sigma","rmax","v_r16","v_r50","v_r84","v_phi16","v_phi50","v_phi84","v_z16","v_z50","v_z84","j_r16","j_r50","j_r84","j_phi16","j_phi50","j_phi84","j_z16","j_z50","j_z84","energy16","energy50","energy84","rperi16","rperi50","rperi84","rapo16","rapo50","rapo84","Rmax16","Rmax50","Rmax84","zmax16","zmax50","zmax84","ecc16","ecc50","ecc84","ecc_mean","Lx16","Lx50","Lx84","Ly16","Ly50","Ly84","Lz16","Lz50","Lz84","Ltot16","Ltot50","Ltot84","Lperp16","Lperp50","Lperp84","incl16","incl50","incl84","xgal16","xgal50","xgal84","ygal16","ygal50","ygal84","zgal16","zgal50","zgal84","vx16","vx50","vx84","vy16","vy50","vy84","vz16","vz50","vz84"
"NGC_104_47Tuc",6.023625,-72.081276,4.5,-17.45,5.2517,-2.5525,0.0215,0.0222,0.03,0.16,-0.0001,0.2285,0.0094,305.894811352569,-44.8893397813122,12.2,40,9.26749682104776,9.6219507875245,9.75196369385371,-181.483263687798,-181.335328746737,-180.836881501449,45.4155963812431,45.7412890520779,46.16434917568,19.2717853239714,19.3651082844151,19.9532838177842,-1241.47647235556,-1239.69886606087,-1236.0748423412,213.217547665098,214.70213627413,216.869248735865,-166277.784458662,-166241.768949234,-166218.312693833,5.59586856842041,5.61673736572266,5.62044204711914,7.57471300125122,7.57785105705261,7.58299055099487,7.42263820648193,7.4259238243103,7.42942974090576,3.45700899124146,3.47299754619598,3.49546895980835,0.1481819242239,0.14848704636097,0.150764061808586,0.149209067225456,402.266324524397,403.430812725223,403.73713961625,531.94812164942,534.777572286645,538.295628596543,-1241.47647235556,-1239.69886606087,-1236.0748423412,1406.53098065045,1409.22308882967,1409.75749098665,667.434929738952,669.945548234664,672.423034674239,151.440474131336,151.614270278733,151.732965294729,-6.34020605621161,-6.33190874814635,-6.32108904473601,-2.59610899159356,-2.58115930532381,-2.5696948364974,-3.19234239052848,-3.17395929592092,-3.15986184857262,-77.6462609339812,-77.2845971817524,-76.8439186520375,163.745853222166,164.251954360167,164.567414074438,45.4155963812431,45.7412890520779,46.16434917568
"NGC_288",13.1885,-26.582611,8.92,-44.45,4.1637,-5.7055,0.0242,0.0245,0.09,0.13,0.0144,0.1371,0.0107,151.285174153156,-89.3804135149727,3.3,15,2.27419466633453,3.49008708144185,5.27861860020987,53.4521733878106,55.2605273945831,57.8523775388329,50.2216902803359,50.2913256263863,50.4149041558535,520.623908182345,528.968857355101,533.570321032568,442.83825088694,457.846234295467,479.359447854997,502.85221583487,512.375952104679,515.625639037863,-156200.992076324,-155975.790377996,-155601.129460716,1.90611327171326,1.95704460144043,2.08861256599426,12.3422504806519,12.3885326385498,12.4541472244263,12.1130294418335,12.1644186973572,12.2266341781616,9.83578022003174,9.96500015258789,10.0350459289551,0.7129660820961,0.726916164159775,0.732543189525604,0.725500255823135,-520.677707755041,-493.242243681539,-474.375099393384,440.159078170621,450.670440637783,467.155194889649,442.83825088694,457.846234295467,479.359447854997,794.11634808335,808.312057245068,837.493682901195,656.012604685958,672.683766691841,686.88497176896,55.0635538248081,55.535525303972,56.1665354130982,-8.2857726357672,-8.28505618107526,-8.28461265686893,0.046352662229089,0.046595634480368,0.046988124015232,-9.04366772074084,-8.96812640021438,-8.92136223688627,-5.58507917970708,-3.81242061612299,-2.59213737305936,-57.8339474515835,-55.2371061378003,-53.4255686012528,50.2216902803359,50.2913256263863,50.4149041558535
"NGC_362",15.809416,-70.848778,8.76,223.12,6.6935,-2.5364,0.0241,0.024,0.1,0.28,-0.0019,0.11,0.0105,301.532982023182,-46.2474100112698,8.8,12,137.938516688157,139.711537061194,144.318114111236,4.48032008963234,5.83895539180191,6.59594486333795,-68.6529021365432,-67.8276836817247,-67.1626901349177,807.509894537449,814.381143539907,828.49262002605,32.4058852951027,42.085031728799,47.5404511218891,354.480646129667,360.58090804484,383.674472295171,-158665.396837334,-158274.115721218,-157254.803372068,0.176620740890503,0.208845809102058,0.278146634101868,12.2003412246704,12.2873578071594,12.5062198638916,11.9853887176514,12.1282014846802,12.2930155944824,10.3067897033691,10.6925253868103,11.6370140457153,0.955446808338165,0.966390907764435,0.971906454563141,0.96448695063591,-341.795984018422,-313.184531956657,-299.912072967451,229.648562979915,247.525275986863,284.007791575362,32.4058852951027,42.0850317287989,47.540451121889,384.394806731248,398.183919969098,447.087688134924,381.500959845981,395.904662068984,446.097989870485,82.9003330676336,83.8650666182673,85.7344202786948,-5.03688959613679,-5.02243535476036,-4.9719034096815,-5.26097539623816,-5.17862119389451,-5.15506446127356,-6.44718474848659,-6.34626187443106,-6.31739372815794,-95.7114868244214,-93.0345554561107,-91.8585649267908,-108.022187312204,-104.400492629999,-103.374568456429,-68.6529021365432,-67.8276836817247,-67.1626901349177
"Whiting_1",30.737499,-3.252777,30.6,-130.41,-0.2284,-2.0489,0.0644,0.0566,1.17,1.79,0.0224,0.0178,0.0464,161.617569948669,-60.6358721319538,0.3,3,-244.045394691166,-233.191410563753,-224.171720451383,-77.9509928474515,-72.7032074758857,-67.2803458353378,-12.4302832690078,-7.3928262323,-1.0594330620606,1287.14203344857,1405.6316879378,1490.74421217686,-1727.69088872154,-1670.0403778462,-1566.40399972241,4826.61939810233,5228.20172268406,5668.67145672414,-81990.6501322935,-79656.1977491033,-76720.4635012207,19.3710271453857,20.586033821106,22.0763376617432,55.8820350646973,59.01780128479,63.4452291870117,55.7888398742676,58.9514713287354,63.3354425048828,53.5559158325195,56.6453132629395,61.0930181884766,0.478551431894302,0.486422762274742,0.490952353477478,0.484745734930038,422.794072356601,518.143674968865,718.345668312354,-7071.22654166364,-6595.5703640018,-6196.41534346993,-1727.69088872154,-1670.0403778462,-1566.40399972241,6437.86658147207,6800.84401959508,7264.69027693485,6229.06430356329,6613.88310815083,7084.48197336628,102.847367799464,103.58438112484,105.234005310426,-22.7114487253278,-22.4547470719513,-21.8558201100208,4.53803778550063,4.73707037102812,4.82237625476395,-27.1782509113971,-26.6974786551675,-25.5757583116613,233.875135850394,243.017508270333,254.140623798791,16.9860939867886,20.8507470438955,29.3167308968668,-12.4302832690078,-7.3928262323,-1.0594330620606
"NGC_1261",48.067543,-55.216224,16.39,71.36,1.5963,-2.064,0.0244,0.0253,0.19,0.24,0.0025,0.0644,0.0108,270.538713334681,-52.1243517921724,5.8,10,-89.947499826795,-88.0733726894363,-86.7260374510764,27.166069414782,30.0310852440317,33.2857977072659,67.300177112745,69.4785830082541,70.3561853500509,1407.10407803107,1415.84495690397,1425.03051889634,348.219204325884,389.965814621787,434.133828010619,378.699562122922,386.220711905287,393.112816217511,-133597.363364389,-132799.932680315,-132287.427619086,1.09758709907532,1.24814075231552,1.39025395393372,20.6866158294678,21.0300455093384,21.2289601898193,20.3755598449707,20.5152578353882,21.0238634490967,16.3122418212891,16.4383172988892,17.3695964050293,0.876537263393402,0.887773185968399,0.899232749938965,0.888615673780441,-86.8296636056738,-61.5843093643588,3.26510358449903,-498.912455900379,-456.904470578307,-435.154533369848,348.219204325884,389.965814621787,434.133828010619,569.396548220473,596.860375615919,661.269291866809,440.71379878186,458.460573235699,503.474726931546,48.8270090166985,49.4436546617739,52.3254989060118,-8.10664235381443,-8.10474271793299,-8.10391150428397,-10.2193918054776,-10.1309889442392,-9.92895515012502,-13.1394838781856,-13.0258207569219,-12.7660577660178,76.7518412249537,78.3512497613936,81.186141135601,48.1039701876264,49.2852606522183,52.6035659022351,67.300177112745,69.4785830082541,70.3561853500509
"Pal_1",53.333499,79.581054,11.65,-75.72,-0.2508,0.0046,0.0343,0.0382,0.51,0.29,0.0674,0.1105,0.0224,130.064839290739,19.0280623894361,0.5,3,37.2080758790976,40.5724829202837,42.3482487216496,-206.175216896048,-205.250261796133,-205.053956219751,-28.4518005506402,-24.1167843406628,-22.5933097652213,38.9456372834334,42.7928832923265,45.9858514221145,-3659.07942379732,-3607.89582969385,-3478.44169114875,125.853423680512,138.26157802406,152.068492841627,-121356.298522621,-119329.900276681,-118488.991112246,14.2888426208496,14.82279920578,15.1210004043579,18.3617195129395,19.2253532409668,19.5960292053223,18.3616397094727,19.2188682556152,19.593165512085,4.51617824554443,4.92189407348633,5.22526168823242,0.123596481084824,0.128802582621574,0.13215013563633,0.128416016697884,-1026.27059091886,-973.165520795902,-902.120603535105,-194.051204086452,-127.873357675607,-95.870494401148,-3659.07942379732,-3607.89582969385,-3478.44169114875,3595.42888589436,3739.62105715958,3802.96810332706,908.93407831597,979.91771759344,1041.67810477819,164.114150787357,164.912841460164,165.223716287796,-15.4893308010512,-15.3192699687445,-14.9618404213248,8.03995386108734,8.46494423216754,8.66714972063362,3.62305370786689,3.81456761035359,3.90568770350285,63.3519334880767,64.1704308856621,64.6706464230276,198.37236122993,199.048749342417,200.453995611344,-28.4518005506402,-24.1167843406628,-22.5933097652213
"AM_1",58.759586,-49.615276,118.31,118,0.3301,-0.1813,0.0974,0.0872,2.07,14.14,-0.2632,-0.0215,0.058,258.361329567718,-48.4707268884391,1.2,2.5,-54.9249600047638,-13.687208991272,9.56050402256062,-23.672107377913,6.65430946197332,85.3376383543574,22.2642287948129,65.2888124239236,76.0072228988628,2925.10932416317,6369.70039348587,7847.98049697192,-1958.36908377117,525.672966355152,6860.18569185326,2389.34732641069,4908.38451703928,6041.834882558,-56825.0015376038,-55189.1204611356,-52787.3508590749,7.97061462402344,15.649863243103,39.7166358184814,123.286307983398,125.74938583374,130.050679931641,120.570320129395,123.972759246826,127.585196838379,92.0448028564453,114.677875518799,120.508827209473,0.516454963684082,0.783662587404251,0.882843866348267,0.722644537687302,-6160.92280151736,-3832.40364204467,1033.69705487996,-8232.10531670908,473.025310476959,4263.6780919141,-1958.36908377117,525.672966355152,6860.18569185326,3971.09603531906,6746.21014777771,12595.4871667744,3862.74536758236,5958.41968263933,10457.8699077982,51.8215518388817,79.8893663159244,103.972833190891,-24.3216325192041,-24.0259938988372,-23.8107508004079,-78.2702217899719,-76.8349018645095,-75.7899006816113,-90.2326109441333,-88.5779246349243,-87.3732112328641,-26.7104486534783,10.4494588326995,97.8441070595013,2.61672363360272,11.0598428238742,27.3782342667333,22.2642287948129,65.2888124239236,76.0072228988628
"Eridanus",66.185417,-21.186943,86.15,-23.79,0.5086,-0.3006,0.0388,0.0408,2.64,1.07,-0.0851,0.0501,0.0326,218.106172917892,-41.3322405205326,0.7,4,-73.0128691297958,-68.2981253397564,-50.3001725463222,-23.4674398356505,-18.0112193576456,-5.25001926071474,141.309826218799,147.691210785861,166.656472742235,5219.86669255825,6114.91523806152,6752.8782116589,-1647.34752004082,-1295.82746371696,-379.939059459083,5117.7698462577,5645.74453164291,7748.00144098767,-56639.6591289143,-55519.6547812805,-52959.6903905502,13.6201595687866,15.7550301551819,24.4549755096436,123.888497009277,127.794849395752,133.164631958008,122.199760131836,124.831764221191,131.532398681641,120.549609680176,125.416313171387,130.687811584473,0.69117082118988,0.776280671358109,0.808386743068695,0.755064141750336,-3857.46207964185,-3138.17141597272,-2613.27948494761,5093.98565072725,5967.64921124878,8274.52979611226,-1647.34752004082,-1295.82746371696,-379.939059459083,6073.71788157479,6730.90945243935,9368.2026733356,6023.04344308513,6582.38591283088,9234.04469278853,93.3702463847703,99.7563913003305,102.974552296064,-60.3592918250164,-58.5870233177023,-57.4906192794761,-40.9071790141709,-39.5172348152907,-38.6573535804372,-58.3008271248529,-56.3198815205611,-55.0943805588904,29.5219433385587,46.794300004238,58.3076819841748,43.6449574724786,51.3675952485671,55.5169738476559,141.309826218799,147.691210785861,166.656472742235
"Pal_2",71.52462,31.3815,26.34,-135.97,1.0445,-1.5218,0.0341,0.031,1.1,1.55,0.038,0.0416,0.0209,170.530220170828,-9.07220779579867,5,3,-109.109121436605,-107.556918458715,-105.437957370583,-18.5277406796838,-9.59136699333593,-1.26632409118813,2.50015812559473,11.3846799051005,15.0927251108541,2968.57361561054,3193.39880257543,3337.63875472749,-613.963349701021,-327.861539601381,-44.0341881490259,17.3080102074528,19.6902306936519,71.4319533308505,-105863.299741173,-104576.353078637,-103265.41240359,0.337530018091202,0.699901849031448,1.11342529296875,37.8847431945801,39.0489082336426,40.2001036071777,37.840622253418,38.7765941619873,40.0111883544922,5.22520009994507,6.24632596969605,15.5812925338745,0.942887315750122,0.964786410331726,0.983430597782135,0.96205632686615,-45.9125775021165,40.0409124055184,82.4114487785448,-384.517984901775,-57.465199155347,67.9401194221312,-613.963349701021,-327.861539601381,-44.0341881490259,292.994927900864,464.470457277498,633.435846400926,67.0357031824321,124.848607315188,388.980982719223,93.9280200815806,160.126638396102,172.292785960215,-34.7860210394393,-33.9163782628289,-32.896244675202,4.11934718214664,4.28950602511532,4.43456291811337,-4.30381662709431,-4.16303651426524,-3.99789454398797,105.891813733743,108.183212517883,109.104767774922,-12.5326454618735,-3.85274449845006,5.11229839719012,2.50015812559473,11.3846799051005,15.0927251108541
"NGC_1851",78.52816,-40.046555,12.06,321.4,2.1439,-0.6509,0.0235,0.0238,0.13,1.55,-0.0045,0.084,0.0105,244.51322842494,-35.0359833343913,10.6,15,109.405498261928,110.638760099955,112.709379464033,13.009659008696,13.4608903433066,14.3514874047889,-82.5827467562279,-81.9605612878215,-81.3174151918053,1507.35826089934,1521.16381364894,1532.63092848345,198.157234213873,206.648671943817,220.483884033968,226.176318489523,237.103531812675,241.023314206471,-135225.397738927,-134739.822884573,-134622.406361031,0.476160018444061,0.526593685150147,0.563135392665863,20.2252529907227,20.4514455795288,20.511303024292,20.1087832641602,20.2856531143188,20.3891316986084,13.6841337585449,14.3901815414429,15.3180522155762,0.946264562606812,0.949939429759979,0.954247179031372,0.95071462392807,195.593305351471,207.799004275784,216.030331596344,-461.577690025925,-456.657206622886,-430.439563885442,198.157234213873,206.648671943817,220.483884033968,514.354641831361,545.705225921524,549.879418092392,475.103919036232,501.355605897691,508.735013392124,66.0941951803258,66.6970783693043,68.874876870425,-12.4775038033523,-12.4466059116585,-12.3998554442373,-8.97330286128502,-8.90848558637653,-8.81041294346069,-6.9698501693985,-6.91950452727714,-6.8433283815026,-84.0588393119072,-82.1216803809869,-80.850784223784,-76.9839790688204,-75.5054620567713,-74.116591154079,-82.5827467562279,-81.9605612878215,-81.3174151918053
