"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"Melotte_22",56.601,24.114,166.462,-23.614,1.274,7.89,5.55,128,,,,,,,928,2,22,64,"Cl Melotte 22",56.601,24.114
"UBC_19",56.336,29.827,162.215,-19.48,0.254,6.84,8.1,416,2.656,0.256,-5.208,0.112,2.456,0.074,32,3,8,9," ",56.336,29.827
"NGC_1333",52.297,31.31,158.343,-20.505,0.095,7.06,7.38,299,6.821,0.755,-9.916,0.472,3.36,0.087,50,0,1,1,"NGC 1333",52.297,31.31
"UBC_199",67.449,25.422,172.8,-15.669,0.135,9.06,10.46,1233,2.875,0.062,-1.847,0.039,0.842,0.028,55,1,13,32," ",67.449,25.422
"Czernik_19",74.258,28.763,174.096,-8.862,0.076,8.31,12.06,2586,0.958,0.061,-2.141,0.05,0.391,0.035,78,5,40,73,"Cl Czernik 19",74.258,28.763
"Skiff_J0507+30.8",76.78,30.846,173.754,-5.861,0.075,9.39,13.92,6088,0.739,0.068,-0.735,0.055,0.177,0.04,75,7,51,75,"Name Skiff J0507+30.8",76.78,30.846
"FSR_0771",75.919,32.157,172.257,-5.663,0.115,8.45,10.92,1529,1.488,0.039,-4.25,0.051,0.612,0.032,40,1,11,31,"[FSR2007] 0771",75.919,32.157
"UBC_31",61.146,32.532,163.527,-14.719,1.612,7.42,7.67,341,3.753,0.192,-5.411,0.184,2.764,0.081,65,0,6,35," ",61.146,32.532
"Czernik_18",66.963,30.936,168.263,-12.309,0.051,8.72,10.61,1325,1.715,0.078,-3.079,0.057,0.751,0.036,45,0,3,21,"Cl Czernik 18",66.963,30.936
"FSR_0728",67.458,38.496,162.916,-6.874,0.05,8.21,11.37,1876,1.907,0.068,-2.266,0.061,0.557,0.023,55,1,13,39,"[FSR2007] 0728",67.458,38.496
"COIN-Gaia_11",68.11,39.479,162.538,-5.834,0.336,8.9,9.13,669,3.493,0.107,-5.695,0.112,1.518,0.034,75,0,13,47,"[CKS2019] COIN-Gaia 11",68.11,39.479
"COIN-Gaia_10",68.385,40.509,161.92,-4.981,0.177,7.74,10.04,1018,1.951,0.079,-3.441,0.06,0.956,0.028,28,0,2,14,"[CKS2019] COIN-Gaia 10",68.385,40.509
"COIN-Gaia_20",78.634,31.691,174.004,-4.082,0.258,7.93,10.09,1044,0.48,0.073,-1.52,0.051,0.932,0.029,36,0,5,22,"[CKS2019] COIN-Gaia 20",78.634,31.691
"Berkeley_69",81.09,32.607,174.442,-1.853,0.038,8.9,12.66,3410,0.748,0.06,-1.941,0.047,0.275,0.06,98,2,39,97,"Cl Berkeley 69",81.09,32.607
"NGC_1893",80.724,33.444,173.577,-1.634,0.085,6.64,12.54,3222,-0.312,0.109,-1.428,0.104,0.298,0.042,122,28,77,119,"NGC 1893",80.724,33.444
